Numéro de série;Code_Guichet;Marque;Date d'installation;Type d'implantation;Modèle
44.550.859;137;NCR;2012-10-31T01:00:00+01:00;Interne;NCR 6626
44.550.860;146;NCR;2013-04-19T02:00:00+02:00;LSB;NCR 6626
44.555.350;223;NCR;2013-03-22T01:00:00+01:00;Interne;NCR 6626
44.555.372;235;NCR;2011-11-09T01:00:00+01:00;Interne;NCR 6626
44.555.373;330;NCR;2012-01-26T01:00:00+01:00;Externe;NCR 6626
44.862.747;274;NCR;2011-10-24T02:00:00+02:00;Externe;NCR 6625
44.863.076;818;NCR;2012-03-12T01:00:00+01:00;Externe;NCR 6625
45.174.700;137;NCR;2013-06-11T02:00:00+02:00;Externe;NCR 6625
45.174.701;204;NCR;2014-04-14T02:00:00+02:00;Externe;NCR 6625
45.756.110;284;NCR;2015-03-12T01:00:00+01:00;Interne;NCR 6626
46.052.202*;112;NCR;2013-12-03T01:00:00+01:00;Hors site client;NCR 6622
46.052.203*;294;NCR;2013-12-03T01:00:00+01:00;Hors site client;NCR 6622
46.061.197;652;NCR;2013-04-25T02:00:00+02:00;LSB;NCR 6626
46.061.198;364;NCR;2013-11-19T01:00:00+01:00;LSB;NCR 6626
46.061.199;281;NCR;2013-08-02T02:00:00+02:00;Interne;NCR 6626
46.061.200;124;NCR;2014-03-03T01:00:00+01:00;LSB;NCR 6626
46.061.201;329;NCR;2013-10-30T01:00:00+01:00;LSB;NCR 6626
46.061.202;476;NCR;2018-07-02T11:33:05+02:00;Externe;NCR 6626
46.063.106;181;NCR;2013-03-12T01:00:00+01:00;Interne;NCR 6626
46.063.109;386;NCR;2013-03-21T01:00:00+01:00;Interne;NCR 6626
46.063.110;102;NCR;2013-01-24T01:00:00+01:00;Interne;NCR 6626
46.063.111;116;NCR;2013-01-31T01:00:00+01:00;Interne;NCR 6626
46.063.112;130;NCR;2013-01-24T01:00:00+01:00;Interne;NCR 6626
46.067.483;364;NCR;2013-02-22T01:00:00+01:00;Externe;NCR 6625
46.067.487;610;NCR;2013-01-17T01:00:00+01:00;Externe;NCR 6625
46.067.488;275;NCR;2013-05-28T02:00:00+02:00;Externe;NCR 6625
46.067.489;176;NCR;2013-03-22T01:00:00+01:00;Externe;NCR 6625
46.068.075;491;NCR;2013-07-16T02:00:00+02:00;Externe;NCR 6625
46.744.523;137;NCR;2013-05-28T02:00:00+02:00;Interne;NCR 6625
46.744.524;399;NCR;2015-04-14T13:16:32+02:00;Externe;NCR 6625
46.744.525;132;NCR;2013-06-04T02:00:00+02:00;Externe;NCR 6625
46.745.252;181;NCR;2013-06-20T02:00:00+02:00;Externe;NCR 6625
46.745.253;683;NCR;2013-06-04T02:00:00+02:00;Externe;NCR 6625
46.745.254;755;NCR;2017-10-27T02:00:00+02:00;Externe;NCR 6625
46.745.255;164;NCR;2013-07-04T02:00:00+02:00;Hors site;NCR 6625
46.745.524;269;NCR;2013-07-01T02:00:00+02:00;LSB;NCR 6625
46.745.548;182;NCR;2013-11-19T01:00:00+01:00;Externe;NCR 6625
46.752.097;191;NCR;2013-05-16T02:00:00+02:00;Interne;NCR 6626
46.752.098;483;NCR;2013-07-15T02:00:00+02:00;Interne;NCR 6626
46.752.183;294;NCR;2017-12-10T09:06:26+01:00;Interne;NCR 6626
46.752.305;309;NCR;2017-10-24T02:00:00+02:00;LSB;NCR 6626
46.752.306;256;NCR;2013-06-11T02:00:00+02:00;Interne;NCR 6626
46.752.307;283;NCR;2013-06-04T02:00:00+02:00;Interne;NCR 6626
46.752.308;219;NCR;2014-12-18T01:00:00+01:00;Interne;NCR 6626
46.752.556;321;NCR;2013-07-01T02:00:00+02:00;LSB;NCR 6626
46.752.665;329;NCR;2013-12-12T01:00:00+01:00;Externe;NCR 6626
